case,session,phase,condition,outcome
1,1,1,0,103.72
1,2,1,0,105.32
1,3,1,0,77.39
1,4,1,0,117.29
1,5,1,0,102.93
1,6,1,0,99.73
1,7,1,0,49.47
1,8,1,1,183.51
1,9,1,1,152.39
1,10,1,1,170.74
1,11,1,1,169.95
1,12,1,1,154.79
1,13,1,1,153.99
1,14,2,0,97.34
1,15,2,0,57.45
1,16,2,0,67.82
1,17,2,0,107.71
1,18,2,0,103.72
1,19,2,0,90.16
1,20,2,0,93.35
1,21,2,1,153.19
1,22,2,1,149.2
1,23,2,1,149.2
1,24,2,1,142.02
1,25,2,1,143.62
1,26,2,1,176.33
1,27,2,1,173.94
2,1,1,0,64
2,2,1,0,62.8
2,3,1,0,43.6
2,4,1,0,63.4
2,5,1,1,213.2
2,6,1,1,220.01
2,7,1,1,212.8
2,8,1,1,217.6
2,9,2,0,62.4
2,10,2,0,72.2
2,11,2,0,62.01
2,12,2,1,189.81
2,13,2,1,178.6
2,14,2,1,181.41
3,1,1,0,24.02
3,2,1,0,26.38
3,3,1,0,29.92
3,4,1,0,23.62
3,5,1,1,84.65
3,6,1,1,89.76
3,7,1,1,83.46
3,8,1,1,89.76
3,9,2,0,30.71
3,10,2,0,41.73
3,11,2,0,29.92
3,12,2,0,33.86
3,13,2,1,84.25
3,14,2,1,78.74
